trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.998}",25,0,-182.94045245516847,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
2,False,"{'a': 0.9, 'e': 0.996004}",25,0,-184.4295290053813,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
3,False,"{'a': 0.9, 'e': 0.994011992}",25,0,-112.30325174403184,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.9, 'e': 0.992023968016}",20,0,-70.2395166780895,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",1
5,False,"{'a': 0.9, 'e': 0.990039920079968}",35,0,-212.18024320279147,"{0: 18, 1: 4, 2: 9, 3: 2, 4: 2}",0
6,False,"{'a': 0.9, 'e': 0.9880598402398081}",20,0,-92.22590397242035,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.9, 'e': 0.9860837205593285}",25,0,-95.74225337360714,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.9, 'e': 0.9841115531182097}",20,0,-105.22967348889863,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.9, 'e': 0.9821433300119734}",20,0,-37.75157939222009,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.9, 'e': 0.9801790433519494}",20,0,-212.3310150633924,"{0: 8, 1: 2, 2: 5, 3: 2, 4: 3}",0
11,False,"{'a': 0.9, 'e': 0.9782186852652455}",25,0,-146.07367453755103,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.9, 'e': 0.976262247894715}",25,0,-76.0421421948691,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
13,False,"{'a': 0.9, 'e': 0.9743097233989256}",20,0,-26.03184767926448,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
14,False,"{'a': 0.9, 'e': 0.9723611039521277}",30,12,-151.64978400018538,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 3}",1
15,False,"{'a': 0.9, 'e': 0.9704163817442235}",20,0,-143.21320706861056,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
16,False,"{'a': 0.9, 'e': 0.9684755489807351}",35,0,-121.06284002700446,"{0: 21, 1: 7, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.9, 'e': 0.9665385978827735}",20,0,-45.82812986985384,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.9, 'e': 0.964605520687008}",25,0,-61.417413514679446,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.9, 'e': 0.962676309645634}",20,0,-207.46603783240514,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 4}",0
20,False,"{'a': 0.9, 'e': 0.9607509570263427}",20,0,-42.03490091316461,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
21,False,"{'a': 0.9, 'e': 0.95882945511229}",20,0,-45.118724258134336,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
22,False,"{'a': 0.9, 'e': 0.9569117962020655}",20,0,-148.85337544759338,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
23,False,"{'a': 0.9, 'e': 0.9549979726096613}",25,0,-187.81101039162291,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 4}",0
24,False,"{'a': 0.9, 'e': 0.953087976664442}",20,0,-96.15859845130397,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
25,False,"{'a': 0.9, 'e': 0.9511818007111131}",20,0,-61.804440814973006,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
26,False,"{'a': 0.9, 'e': 0.9492794371096909}",25,0,-206.71361310960336,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 5}",0
27,False,"{'a': 0.9, 'e': 0.9473808782354715}",20,0,-255.49442586617795,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 5}",0
28,False,"{'a': 0.9, 'e': 0.9454861164790005}",20,0,-117.31280927842211,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
29,False,"{'a': 0.9, 'e': 0.9435951442460425}",25,0,-111.1273020056902,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
30,False,"{'a': 0.9, 'e': 0.9417079539575505}",20,0,-18.746217548498368,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
